term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006366	transcription by RNA polymerase II	1.1775716969099192e-07	7.0746	2827	11	11
GO:0006357	regulation of transcription by RNA polymerase II	1.1775716969099192e-07	7.4405	2688	11	11
GO:0045944	positive regulation of transcription by RNA polymerase II	1.240646051872014e-07	13.2285	1237	11	9
GO:2001141	regulation of RNA biosynthetic process	3.5639815679591337e-07	5.8875	3397	11	11
GO:0006355	regulation of DNA-templated transcription	3.5639815679591337e-07	5.9084	3385	11	11
GO:0006351	DNA-templated transcription	4.4360277699487475e-07	5.677	3523	11	11
GO:0051252	regulation of RNA metabolic process	5.684678570386535e-07	5.4735	3654	11	11
GO:0045893	positive regulation of DNA-templated transcription	6.094630032188183e-07	9.7869	1672	11	9
GO:1902680	positive regulation of RNA biosynthetic process	6.094630032188183e-07	9.7752	1674	11	9
GO:0019219	regulation of nucleobase-containing compound metabolic process	9.489649884320823e-07	5.0582	3954	11	11
GO:0051254	positive regulation of RNA metabolic process	9.673191788272358e-07	9.0708	1804	11	9
GO:0031016	pancreas development	4.508234387877407e-06	92.0598	79	11	4
GO:0003228	atrial cardiac muscle tissue development	1.1344510448190837e-05	247.9339	22	11	3
GO:0080090	regulation of primary metabolic process	1.4288258240550274e-05	3.8351	5215	11	11
GO:0010557	positive regulation of macromolecule biosynthetic process	1.4372713407755612e-05	6.4475	2538	11	9
GO:0009891	positive regulation of biosynthetic process	1.935017334646971e-05	6.1866	2645	11	9
GO:0010468	regulation of gene expression	2.3307676914391702e-05	3.6043	5549	11	11
GO:0010556	regulation of macromolecule biosynthetic process	2.6692170775057044e-05	3.5417	5647	11	11
GO:0009889	regulation of biosynthetic process	3.53189122315341e-05	3.4358	5821	11	11
GO:0048732	gland development	6.25585136936972e-05	21.3904	425	11	5
GO:0060913	cardiac cell fate determination	6.40633338698293e-05	909.0909	4	11	2
GO:0010604	positive regulation of macromolecule metabolic process	6.504728449910482e-05	5.1915	3152	11	9
GO:0060255	regulation of macromolecule metabolic process	8.173929854316303e-05	3.1289	6392	11	11
GO:0009893	positive regulation of metabolic process	0.00011335192708656234	4.7987	3410	11	9
GO:0032774	RNA biosynthetic process	0.00011335192708656234	3.018	6627	11	11
GO:0141187	nucleic acid biosynthetic process	0.00012449632052150334	2.9696	6735	11	11
GO:0060921	sinoatrial node cell differentiation	0.00012449632052150334	606.0606	6	11	2
GO:0016070	RNA metabolic process	0.00014017254114966575	2.9265	6834	11	11
GO:0019222	regulation of metabolic process	0.0001504429100721005	2.8986	6900	11	11
GO:0034654	nucleobase-containing compound biosynthetic process	0.00018000314263747174	2.8429	7035	11	11
GO:0048863	stem cell differentiation	0.00018478075442326507	28.746	253	11	4
GO:0048729	tissue morphogenesis	0.00023302804732054042	14.8544	612	11	5
GO:0090304	nucleic acid metabolic process	0.0002859860181896253	2.7023	7401	11	11
GO:0045596	negative regulation of cell differentiation	0.0003283891419668273	13.6705	665	11	5
GO:0003139	secondary heart field specification	0.0003418753693273694	330.5785	11	11	2
GO:0060920	cardiac pacemaker cell differentiation	0.0003418753693273694	330.5785	11	11	2
GO:0060485	mesenchyme development	0.00038630295079498283	22.7985	319	11	4
GO:0003163	sinoatrial node development	0.00038854711054354415	303.0303	12	11	2
GO:0045892	negative regulation of DNA-templated transcription	0.00040678632171699703	8.5561	1275	11	6
GO:1902679	negative regulation of RNA biosynthetic process	0.0004129496528596299	8.4962	1284	11	6
GO:0060911	cardiac cell fate commitment	0.0004254708503865416	279.7203	13	11	2
GO:0006139	nucleobase-containing compound metabolic process	0.0005036016385628529	2.5113	7964	11	11
GO:0001708	cell fate specification	0.0005216049863512646	47.8469	114	11	3
GO:0001889	liver development	0.0005811112135356831	45.4545	120	11	3
GO:0051253	negative regulation of RNA metabolic process	0.0005811112135356831	7.8539	1389	11	6
GO:0061008	hepaticobiliary system development	0.000612040759421618	44.3459	123	11	3
GO:0003128	heart field specification	0.0007269946944481957	202.0202	18	11	2
GO:0035270	endocrine system development	0.0007917800115858285	40.107	136	11	3
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	0.0008508132123426755	7.2246	1510	11	6
GO:0003002	regionalization	0.0008554205117315903	17.234	422	11	4
GO:0007224	smoothened signaling pathway	0.000978235624271374	36.6077	149	11	3
GO:0051093	negative regulation of developmental process	0.0010053643381707652	9.9246	916	11	5
GO:0007389	pattern specification process	0.0012072964884133608	15.54	468	11	4
GO:0002070	epithelial cell maturation	0.0012382125697230947	145.4545	25	11	2
GO:0009887	animal organ morphogenesis	0.0014450968981626507	9.0909	1000	11	5
GO:0003209	cardiac atrium morphogenesis	0.0014767664596611033	129.8701	28	11	2
GO:0002009	morphogenesis of an epithelium	0.0014767664596611033	14.5164	501	11	4
GO:0003309	type B pancreatic cell differentiation	0.001669196944283458	121.2121	30	11	2
GO:0010467	gene expression	0.0018226642895534737	2.1664	9232	11	11
GO:0060914	heart formation	0.0019568437631556214	110.1928	33	11	2
GO:0035295	tube development	0.001996642425475714	8.3098	1094	11	5
GO:0048665	neuron fate specification	0.0021328003257476834	103.8961	35	11	2
GO:0009790	embryo development	0.00215341550614356	8.0736	1126	11	5
GO:0003230	cardiac atrium development	0.00215341550614356	101.0101	36	11	2
GO:0033146	regulation of intracellular estrogen receptor signaling pathway	0.00215341550614356	101.0101	36	11	2
GO:0007166	cell surface receptor signaling pathway	0.0021754128052696867	4.4909	2834	11	7
GO:0035883	enteroendocrine cell differentiation	0.0021754128052696867	98.2801	37	11	2
GO:0003161	cardiac conduction system development	0.0021754128052696867	98.2801	37	11	2
GO:0010092	specification of animal organ identity	0.0022300231432337736	95.6938	38	11	2
GO:0002067	glandular epithelial cell differentiation	0.0022300231432337736	95.6938	38	11	2
GO:0009059	macromolecule biosynthetic process	0.002342168877316655	2.0822	9605	11	11
GO:0048738	cardiac muscle tissue development	0.002350567847647409	24.2424	225	11	3
GO:0032735	positive regulation of interleukin-12 production	0.002615985069107627	86.5801	42	11	2
GO:0009888	tissue development	0.0028477943479282477	5.4166	2014	11	6
GO:0060429	epithelium development	0.0028669531076248953	7.367	1234	11	5
GO:0001709	cell fate determination	0.0028867138470871617	80.8081	45	11	2
GO:0009966	regulation of signal transduction	0.002939703987641945	4.199	3031	11	7
GO:0031018	endocrine pancreas development	0.002939703987641945	79.0514	46	11	2
GO:0048522	positive regulation of cellular process	0.003020188886509688	2.8513	5739	11	9
GO:0042593	glucose homeostasis	0.003020188886509688	21.4746	254	11	3
GO:0060828	regulation of canonical Wnt signaling pathway	0.003020188886509688	21.3904	255	11	3
GO:0033500	carbohydrate homeostasis	0.0030599800917855773	21.1416	258	11	3
GO:0043009	chordate embryonic development	0.0030599800917855773	10.871	669	11	4
GO:0003007	heart morphogenesis	0.0031889220249713248	20.7397	263	11	3
GO:1902532	negative regulation of intracellular signal transduction	0.003198245353328942	10.6795	681	11	4
GO:0009792	embryo development ending in birth or egg hatching	0.0032688476897846552	10.5862	687	11	4
GO:0044331	cell-cell adhesion mediated by cadherin	0.003502013928194935	68.6106	53	11	2
GO:0009968	negative regulation of signal transduction	0.003608005041011903	6.7792	1341	11	5
GO:0030520	estrogen receptor signaling pathway	0.0038224849391121033	64.9351	56	11	2
GO:0051146	striated muscle cell differentiation	0.003844836116562001	19.0054	287	11	3
GO:0045165	cell fate commitment	0.0041175504572027455	18.3655	297	11	3
GO:0007165	signal transduction	0.0041175504572027455	2.6989	6063	11	9
GO:0030855	epithelial cell differentiation	0.0041175504572027455	9.7621	745	11	4
GO:0009948	anterior/posterior axis specification	0.004154926716958416	60.6061	60	11	2
GO:0032615	interleukin-12 production	0.004205072946147009	59.6125	61	11	2
GO:0032655	regulation of interleukin-12 production	0.004205072946147009	59.6125	61	11	2
GO:0048545	response to steroid hormone	0.00427713141331304	17.4825	312	11	3
GO:0010648	negative regulation of cell communication	0.00427713141331304	6.2739	1449	11	5
GO:0042664	negative regulation of endodermal cell fate specification	0.00427713141331304	1818.1818	1	11	1
GO:0060975	cardioblast migration to the midline involved in heart field formation	0.00427713141331304	1818.1818	1	11	1
GO:0048518	positive regulation of biological process	0.00427713141331304	2.6608	6150	11	9
GO:0003236	sinus venosus morphogenesis	0.00427713141331304	1818.1818	1	11	1
GO:0060070	canonical Wnt signaling pathway	0.00427713141331304	17.5953	310	11	3
GO:0003260	cardioblast migration	0.00427713141331304	1818.1818	1	11	1
