term_id	description	p_adjust	fold_enrichment	term_size	query_size	intersection_size
GO:0006357	regulation of transcription by RNA polymerase II	4.053158334163815e-05	7.4405	2688	8	8
GO:0006366	transcription by RNA polymerase II	4.053158334163815e-05	7.0746	2827	8	8
GO:2001141	regulation of RNA biosynthetic process	8.823571668131958e-05	5.8875	3397	8	8
GO:0006355	regulation of DNA-templated transcription	8.823571668131958e-05	5.9084	3385	8	8
GO:0006351	DNA-templated transcription	9.449294581292287e-05	5.677	3523	8	8
GO:0051252	regulation of RNA metabolic process	0.00010548464850360457	5.4735	3654	8	8
GO:0045944	positive regulation of transcription by RNA polymerase II	0.00011264452556788237	12.1261	1237	8	6
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.00014881555565796338	5.0582	3954	8	8
GO:1902680	positive regulation of RNA biosynthetic process	0.00046776503454417273	8.9606	1674	8	6
GO:0045893	positive regulation of DNA-templated transcription	0.00046776503454417273	8.9713	1672	8	6
GO:0002065	columnar/cuboidal epithelial cell differentiation	0.0005855530211519016	65.7895	114	8	3
GO:0051254	positive regulation of RNA metabolic process	0.0006040238233882308	8.3149	1804	8	6
GO:0080090	regulation of primary metabolic process	0.0008163634185530429	3.8351	5215	8	8
GO:0030852	regulation of granulocyte differentiation	0.0008163634185530429	312.5	16	8	2
GO:0010468	regulation of gene expression	0.0011966206523609077	3.6043	5549	8	8
GO:0010556	regulation of macromolecule biosynthetic process	0.0012905960710154888	3.5417	5647	8	8
GO:0060008	Sertoli cell differentiation	0.0012926953665580566	227.2727	22	8	2
GO:0009889	regulation of biosynthetic process	0.001462651071657499	3.4358	5821	8	8
GO:0051216	cartilage development	0.002199276683705308	35.2113	213	8	3
GO:0061037	negative regulation of cartilage development	0.002354811147642458	156.25	32	8	2
GO:0009755	hormone-mediated signaling pathway	0.002398028488509646	32.8947	228	8	3
GO:0010557	positive regulation of macromolecule biosynthetic process	0.002398028488509646	5.9102	2538	8	6
GO:0060255	regulation of macromolecule metabolic process	0.002420948250379179	3.1289	6392	8	8
GO:0002067	glandular epithelial cell differentiation	0.002654999591360829	131.5789	38	8	2
GO:0030851	granulocyte differentiation	0.002654999591360829	125.0	40	8	2
GO:0050870	positive regulation of T cell activation	0.002654999591360829	29.4118	255	8	3
GO:0009891	positive regulation of biosynthetic process	0.002654999591360829	5.6711	2645	8	6
GO:0032774	RNA biosynthetic process	0.002654999591360829	3.018	6627	8	8
GO:0141187	nucleic acid biosynthetic process	0.0029175544801163474	2.9696	6735	8	8
GO:1903039	positive regulation of leukocyte cell-cell adhesion	0.0030059530391830292	27.1739	276	8	3
GO:0016070	RNA metabolic process	0.0030674708805665724	2.9265	6834	8	8
GO:0019222	regulation of metabolic process	0.0031020396077819094	2.8986	6900	8	8
GO:0007548	sex differentiation	0.0031020396077819094	26.0417	288	8	3
GO:0061448	connective tissue development	0.0031020396077819094	25.7732	291	8	3
GO:0034654	nucleobase-containing compound biosynthetic process	0.0034263994571697223	2.8429	7035	8	8
GO:0046638	positive regulation of alpha-beta T cell differentiation	0.003620015781247594	94.3396	53	8	2
GO:0022409	positive regulation of cell-cell adhesion	0.004059549603361074	22.8659	328	8	3
GO:0051251	positive regulation of lymphocyte activation	0.004060313777523652	22.6586	331	8	3
GO:0040007	growth	0.004191031383355174	10.8696	920	8	4
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	0.004191031383355174	83.3333	60	8	2
GO:0090304	nucleic acid metabolic process	0.004360176602351197	2.7023	7401	8	8
GO:0010604	positive regulation of macromolecule metabolic process	0.004360176602351197	4.7589	3152	8	6
GO:0002696	positive regulation of leukocyte activation	0.0047092451385843635	20.6612	363	8	3
GO:1903037	regulation of leukocyte cell-cell adhesion	0.005064252367472459	20.0	375	8	3
GO:0141064	zygotic genome activation	0.0050865684765615355	2500.0	1	8	1
GO:0061035	regulation of cartilage development	0.0050865684765615355	68.4932	73	8	2
GO:0009893	positive regulation of metabolic process	0.0050865684765615355	4.3988	3410	8	6
GO:0090104	pancreatic epsilon cell differentiation	0.0050865684765615355	2500.0	1	8	1
GO:0001545	primary ovarian follicle growth	0.0050865684765615355	2500.0	1	8	1
GO:0031016	pancreas development	0.0050865684765615355	63.2911	79	8	2
GO:0046635	positive regulation of alpha-beta T cell activation	0.0050865684765615355	68.4932	73	8	2
GO:0050867	positive regulation of cell activation	0.0050865684765615355	19.7368	380	8	3
GO:0050863	regulation of T cell activation	0.0050865684765615355	19.4301	386	8	3
GO:0046637	regulation of alpha-beta T cell differentiation	0.0050865684765615355	64.1026	78	8	2
GO:0060010	Sertoli cell fate commitment	0.0050865684765615355	2500.0	1	8	1
GO:0030522	intracellular receptor signaling pathway	0.0050865684765615355	18.797	399	8	3
GO:0090368	regulation of ornithine metabolic process	0.0050865684765615355	2500.0	1	8	1
GO:0007159	leukocyte cell-cell adhesion	0.0051007672046691046	18.1598	413	8	3
GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	0.005293904961961545	60.9756	82	8	2
GO:0006139	nucleobase-containing compound metabolic process	0.005393786497837579	2.5113	7964	8	8
GO:0042632	cholesterol homeostasis	0.006867090531123316	52.6316	95	8	2
GO:0055092	sterol homeostasis	0.006898765102628653	52.0833	96	8	2
GO:0045785	positive regulation of cell adhesion	0.0074245884568322415	15.528	483	8	3
GO:0022407	regulation of cell-cell adhesion	0.007717237418415651	15.213	493	8	3
GO:1990830	cellular response to leukemia inhibitory factor	0.007717237418415651	48.0769	104	8	2
GO:0031948	positive regulation of glucocorticoid biosynthetic process	0.007731026976946138	1250.0	2	8	1
GO:2001049	regulation of tendon cell differentiation	0.007731026976946138	1250.0	2	8	1
GO:1990823	response to leukemia inhibitory factor	0.007731026976946138	47.1698	106	8	2
GO:1902106	negative regulation of leukocyte differentiation	0.007731026976946138	45.045	111	8	2
GO:0003311	pancreatic D cell differentiation	0.007731026976946138	1250.0	2	8	1
GO:2001051	positive regulation of tendon cell differentiation	0.007731026976946138	1250.0	2	8	1
GO:0043367	CD4-positive, alpha-beta T cell differentiation	0.007731026976946138	47.619	105	8	2
GO:0051249	regulation of lymphocyte activation	0.007731026976946138	14.8221	506	8	3
GO:7770025	intestinal type D enteroendocrine cell differentiation	0.007731026976946138	1250.0	2	8	1
GO:1903707	negative regulation of hemopoiesis	0.008310052579058333	43.1034	116	8	2
GO:0001501	skeletal system development	0.008426600886583344	13.9405	538	8	3
GO:0045582	positive regulation of T cell differentiation	0.008471708883433588	42.0168	119	8	2
GO:0002062	chondrocyte differentiation	0.008471708883433588	41.3223	121	8	2
GO:0010817	regulation of hormone levels	0.008471708883433588	13.7112	547	8	3
GO:0046634	regulation of alpha-beta T cell activation	0.008471708883433588	41.6667	120	8	2
GO:0002761	regulation of myeloid leukocyte differentiation	0.008783897787271403	40.3226	124	8	2
GO:0002694	regulation of leukocyte activation	0.00933165311167587	13.1119	572	8	3
GO:0042110	T cell activation	0.009531456018647006	12.9088	581	8	3
GO:0035710	CD4-positive, alpha-beta T cell activation	0.009531456018647006	38.1679	131	8	2
GO:2000026	regulation of multicellular organismal development	0.009611785854277865	7.1839	1392	8	4
GO:0045621	positive regulation of lymphocyte differentiation	0.009792033935525765	37.037	135	8	2
GO:0046632	alpha-beta T cell differentiation	0.009852436385472051	36.4964	137	8	2
GO:0140001	morula formation	0.009852436385472051	833.3333	3	8	1
GO:0008584	male gonad development	0.01031316698632288	35.461	141	8	2
GO:0046546	development of primary male sexual characteristics	0.010342293807877356	35.2113	142	8	2
GO:0050865	regulation of cell activation	0.010970006957244132	11.9617	627	8	3
GO:0010467	gene expression	0.01147581056575591	2.1664	9232	8	8
GO:0090031	positive regulation of steroid hormone biosynthetic process	0.01179185683890235	625.0	4	8	1
GO:0035992	tendon formation	0.01179185683890235	625.0	4	8	1
GO:0035990	tendon cell differentiation	0.01179185683890235	625.0	4	8	1
GO:0160021	maternal-to-zygotic transition of gene expression	0.01179185683890235	625.0	4	8	1
GO:0061113	pancreas morphogenesis	0.01179185683890235	625.0	4	8	1
GO:0048589	developmental growth	0.011831182563940505	11.3464	661	8	3
GO:0045596	negative regulation of cell differentiation	0.011831182563940505	11.2782	665	8	3
GO:0035265	organ growth	0.011831182563940505	31.25	160	8	2
GO:0032870	cellular response to hormone stimulus	0.012212804688709876	11.0783	677	8	3
GO:0046661	male sex differentiation	0.012212804688709876	30.4878	164	8	2
GO:0055088	lipid homeostasis	0.012898118783073396	29.4118	170	8	2
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation	0.013236333662012175	500.0	5	8	1
GO:0090425	acinar cell differentiation	0.013236333662012175	500.0	5	8	1
GO:0006591	ornithine metabolic process	0.013236333662012175	500.0	5	8	1
GO:0050796	regulation of insulin secretion	0.013236333662012175	28.4091	176	8	2
GO:0060591	chondroblast differentiation	0.013236333662012175	500.0	5	8	1
GO:0009059	macromolecule biosynthetic process	0.013298677851427989	2.0822	9605	8	8
GO:0042127	regulation of cell population proliferation	0.013729052474893956	6.1013	1639	8	4
GO:0002913	positive regulation of lymphocyte anergy	0.014482631909674764	416.6667	6	8	1
GO:0045580	regulation of T cell differentiation	0.014482631909674764	26.5957	188	8	2
GO:0061026	cardiac muscle tissue regeneration	0.014482631909674764	416.6667	6	8	1
GO:1902107	positive regulation of leukocyte differentiation	0.014482631909674764	26.0417	192	8	2
GO:0009749	response to glucose	0.014482631909674764	26.0417	192	8	2
GO:0002669	positive regulation of T cell anergy	0.014482631909674764	416.6667	6	8	1
GO:0141193	nuclear receptor-mediated signaling pathway	0.014482631909674764	25.7732	194	8	2
GO:0030855	epithelial cell differentiation	0.014482631909674764	10.0671	745	8	3
GO:1903708	positive regulation of hemopoiesis	0.014482631909674764	26.0417	192	8	2
GO:0009746	response to hexose	0.014533648638653434	25.5102	196	8	2
GO:0046631	alpha-beta T cell activation	0.014533648638653434	25.5102	196	8	2
GO:0045630	positive regulation of T-helper 2 cell differentiation	0.015207014461917428	357.1429	7	8	1
GO:1905203	regulation of connective tissue replacement	0.015207014461917428	357.1429	7	8	1
GO:0034284	response to monosaccharide	0.015207014461917428	24.7525	202	8	2
GO:0035989	tendon development	0.015207014461917428	357.1429	7	8	1
GO:0060534	trachea cartilage development	0.015207014461917428	357.1429	7	8	1
GO:0030073	insulin secretion	0.015207014461917428	23.9234	209	8	2
GO:0022008	neurogenesis	0.015207014461917428	5.6529	1769	8	4
GO:0030155	regulation of cell adhesion	0.015207014461917428	9.6154	780	8	3
GO:0090276	regulation of peptide hormone secretion	0.015207014461917428	24.5098	204	8	2
GO:0090087	regulation of peptide transport	0.015207014461917428	23.9234	209	8	2
GO:0002791	regulation of peptide secretion	0.015207014461917428	24.1546	207	8	2
GO:0045637	regulation of myeloid cell differentiation	0.015491231250307777	23.3645	214	8	2
GO:0002064	epithelial cell development	0.015491231250307777	23.3645	214	8	2
GO:0046649	lymphocyte activation	0.015491231250307777	9.2478	811	8	3
GO:0045619	regulation of lymphocyte differentiation	0.01593747921035625	22.9358	218	8	2
GO:0030853	negative regulation of granulocyte differentiation	0.01598666841844907	312.5	8	8	1
GO:0060398	regulation of growth hormone receptor signaling pathway	0.01598666841844907	312.5	8	8	1
GO:0006521	regulation of amino acid metabolic process	0.01598666841844907	312.5	8	8	1
GO:0009743	response to carbohydrate	0.01598666841844907	22.5225	222	8	2
GO:0046886	positive regulation of hormone biosynthetic process	0.01598666841844907	312.5	8	8	1
GO:0030854	positive regulation of granulocyte differentiation	0.01598666841844907	312.5	8	8	1
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation	0.01598666841844907	312.5	8	8	1
GO:0048738	cardiac muscle tissue development	0.016015073349136846	22.2222	225	8	2
GO:0008406	gonad development	0.016183075193703374	22.0264	227	8	2
GO:0045597	positive regulation of cell differentiation	0.01648718441614613	8.8028	852	8	3
